dataset_id,model,cp_method,m_minority,value
openml_3_kr_vs_kp,logistic_regression,global_split_cp,10,0.89359375
openml_24_mushroom,logistic_regression,global_split_cp,10,0.9112615384615385
openml_1486_nomao,logistic_regression,global_split_cp,10,0.8888437545335848
openml_1489_phoneme,logistic_regression,global_split_cp,10,0.8593894542090658
openml_1590_adult,logistic_regression,global_split_cp,10,0.9618794144743577
openml_4534_phishingwebsite,logistic_regression,global_split_cp,10,0.9075079149706016
openml_23512_higgs,logistic_regression,global_split_cp,10,0.5889393166751657
openml_23517_numerai28_6,logistic_regression,global_split_cp,10,0.2859375
openml_3_kr_vs_kp,xgboost,global_split_cp,10,0.9012499999999999
openml_24_mushroom,xgboost,global_split_cp,10,0.8850461538461538
openml_1486_nomao,xgboost,global_split_cp,10,0.8787610619469026
openml_1489_phoneme,xgboost,global_split_cp,10,0.951063829787234
openml_1590_adult,xgboost,global_split_cp,10,0.9348244446719214
openml_4534_phishingwebsite,xgboost,global_split_cp,10,0.8890999547715965
openml_23512_higgs,xgboost,global_split_cp,10,0.6508873023967363
openml_23517_numerai28_6,xgboost,global_split_cp,10,0.21233388704318937
openml_3_kr_vs_kp,tabpfn,global_split_cp,10,0.9015625
openml_24_mushroom,tabpfn,global_split_cp,10,0.9980923076923076
openml_1486_nomao,tabpfn,global_split_cp,10,0.8734658349049761
openml_1489_phoneme,tabpfn,global_split_cp,10,0.9137835337650324
openml_1590_adult,tabpfn,global_split_cp,10,0.9485617770498516
openml_4534_phishingwebsite,tabpfn,global_split_cp,10,0.8825418362731796
openml_23512_higgs,tabpfn,global_split_cp,10,0.6653850076491585
openml_23517_numerai28_6,tabpfn,global_split_cp,10,0.2745795265780731
openml_3_kr_vs_kp,logistic_regression,global_split_cp,20,0.89390625
openml_24_mushroom,logistic_regression,global_split_cp,20,0.9099692307692309
openml_1486_nomao,logistic_regression,global_split_cp,20,0.9005657913825621
openml_1489_phoneme,logistic_regression,global_split_cp,20,0.8345050878815912
openml_1590_adult,logistic_regression,global_split_cp,20,0.9741938785955574
openml_4534_phishingwebsite,logistic_regression,global_split_cp,20,0.9097241067390321
openml_23512_higgs,logistic_regression,global_split_cp,20,0.558556858745538
openml_23517_numerai28_6,logistic_regression,global_split_cp,20,0.27597591362126245
openml_3_kr_vs_kp,xgboost,global_split_cp,20,0.8998437499999999
openml_24_mushroom,xgboost,global_split_cp,20,0.8852923076923076
openml_1486_nomao,xgboost,global_split_cp,20,0.8878427390105905
openml_1489_phoneme,xgboost,global_split_cp,20,0.9534690101757631
openml_1590_adult,xgboost,global_split_cp,20,0.9512027843177397
openml_4534_phishingwebsite,xgboost,global_split_cp,20,0.893803708729082
openml_23512_higgs,xgboost,global_split_cp,20,0.6419122896481386
openml_23517_numerai28_6,xgboost,global_split_cp,20,0.20580876245847177
openml_3_kr_vs_kp,tabpfn,global_split_cp,20,0.8964062500000001
openml_24_mushroom,tabpfn,global_split_cp,20,0.9980923076923076
openml_1486_nomao,tabpfn,global_split_cp,20,0.8851878717539533
openml_1489_phoneme,tabpfn,global_split_cp,20,0.9237742830712303
openml_1590_adult,tabpfn,global_split_cp,20,0.9549186201248847
openml_4534_phishingwebsite,tabpfn,global_split_cp,20,0.8848032564450475
openml_23512_higgs,tabpfn,global_split_cp,20,0.6577715451300357
openml_23517_numerai28_6,tabpfn,global_split_cp,20,0.26418189368770767
openml_3_kr_vs_kp,logistic_regression,global_split_cp,50,0.9
openml_24_mushroom,logistic_regression,global_split_cp,50,0.9068307692307693
openml_1486_nomao,logistic_regression,global_split_cp,50,0.9101552299434209
openml_1489_phoneme,logistic_regression,global_split_cp,50,0.723959296947271
openml_1590_adult,logistic_regression,global_split_cp,50,0.9120790254887912
openml_4534_phishingwebsite,logistic_regression,global_split_cp,50,0.9247399366802351
openml_23512_higgs,logistic_regression,global_split_cp,50,0.49260071392146865
openml_23517_numerai28_6,logistic_regression,global_split_cp,50,0.25445390365448506
openml_3_kr_vs_kp,xgboost,global_split_cp,50,0.8989062499999999
openml_24_mushroom,xgboost,global_split_cp,50,0.8904
openml_1486_nomao,xgboost,global_split_cp,50,0.898868417234876
openml_1489_phoneme,xgboost,global_split_cp,50,0.9608695652173914
openml_1590_adult,xgboost,global_split_cp,50,0.9615211382946054
openml_4534_phishingwebsite,xgboost,global_split_cp,50,0.8988240615106287
openml_23512_higgs,xgboost,global_split_cp,50,0.6305252422233554
openml_23517_numerai28_6,xgboost,global_split_cp,50,0.20513392857142856
openml_3_kr_vs_kp,tabpfn,global_split_cp,50,0.8985937500000001
openml_24_mushroom,tabpfn,global_split_cp,50,0.9980923076923076
openml_1486_nomao,tabpfn,global_split_cp,50,0.8974031626287537
openml_1489_phoneme,tabpfn,global_split_cp,50,0.9490286771507863
openml_1590_adult,tabpfn,global_split_cp,50,0.9297573958439964
