dataset_id,cp_method,m_minority,value
openml_3_kr_vs_kp,global_split_cp,10,0.8988020833333333
openml_24_mushroom,global_split_cp,10,0.9314666666666667
openml_1486_nomao,global_split_cp,10,0.8803568837951545
openml_1489_phoneme,global_split_cp,10,0.9080789392537774
openml_1590_adult,global_split_cp,10,0.9484218787320435
openml_4534_phishingwebsite,global_split_cp,10,0.8930499020051259
openml_23512_higgs,global_split_cp,10,0.6350705422403535
openml_23517_numerai28_6,global_split_cp,10,0.2576169712070875
openml_3_kr_vs_kp,global_split_cp,20,0.89671875
openml_24_mushroom,global_split_cp,20,0.9311179487179487
openml_1486_nomao,global_split_cp,20,0.891198800715702
openml_1489_phoneme,global_split_cp,20,0.9039161270428616
openml_1590_adult,global_split_cp,20,0.9601050943460606
openml_4534_phishingwebsite,global_split_cp,20,0.8961103573043872
openml_23512_higgs,global_split_cp,20,0.6194135645079041
openml_23517_numerai28_6,global_split_cp,20,0.24865552325581397
openml_3_kr_vs_kp,global_split_cp,50,0.8991666666666667
openml_24_mushroom,global_split_cp,50,0.9317743589743589
openml_1486_nomao,global_split_cp,50,0.9021422699356836
openml_1489_phoneme,global_split_cp,50,0.8779525131051495
openml_1590_adult,global_split_cp,50,0.9344525198757976
openml_4534_phishingwebsite,global_split_cp,50,0.9039197949645711
openml_23512_higgs,global_split_cp,50,0.5913513513513513
openml_23517_numerai28_6,global_split_cp,50,0.2348145071982281
openml_3_kr_vs_kp,global_split_cp,100,0.9030208333333333
openml_24_mushroom,global_split_cp,100,0.9316923076923077
openml_1486_nomao,global_split_cp,100,0.9151119493205667
openml_1489_phoneme,global_split_cp,100,0.8621954979956831
openml_1590_adult,global_split_cp,100,0.8444603678302112
openml_4534_phishingwebsite,global_split_cp,100,0.9061510628674808
openml_23512_higgs,global_split_cp,100,0.56302396736359
openml_23517_numerai28_6,global_split_cp,100,0.2225532945736434
openml_3_kr_vs_kp,class_conditional_cp,10,0.9065624999999999
openml_24_mushroom,class_conditional_cp,10,0.9424820512820512
openml_1486_nomao,class_conditional_cp,10,0.9239421635475603
openml_1489_phoneme,class_conditional_cp,10,0.7976873265494913
openml_1590_adult,class_conditional_cp,10,0.7389326781997475
openml_4534_phishingwebsite,class_conditional_cp,10,0.9236393788632594
openml_23512_higgs,class_conditional_cp,10,0.5648580656127825
openml_23517_numerai28_6,class_conditional_cp,10,0.22293570044296787
openml_3_kr_vs_kp,class_conditional_cp,20,0.8975520833333334
openml_24_mushroom,class_conditional_cp,20,0.9379076923076923
openml_1486_nomao,class_conditional_cp,20,0.9196189370859326
openml_1489_phoneme,class_conditional_cp,20,0.8244526672833796
openml_1590_adult,class_conditional_cp,20,0.7910874535094005
openml_4534_phishingwebsite,class_conditional_cp,20,0.9293683099653249
openml_23512_higgs,class_conditional_cp,20,0.5164762876083631
openml_23517_numerai28_6,class_conditional_cp,20,0.2044815891472868
openml_3_kr_vs_kp,class_conditional_cp,50,0.8982291666666666
openml_24_mushroom,class_conditional_cp,50,0.9341333333333334
openml_1486_nomao,class_conditional_cp,50,0.9172155326659897
openml_1489_phoneme,class_conditional_cp,50,0.8367252543940796
openml_1590_adult,class_conditional_cp,50,0.831204149179377
openml_4534_phishingwebsite,class_conditional_cp,50,0.9189507010402533
openml_23512_higgs,class_conditional_cp,50,0.5256994730579636
openml_23517_numerai28_6,class_conditional_cp,50,0.20407149778516057
openml_3_kr_vs_kp,class_conditional_cp,100,0.9025520833333334
openml_24_mushroom,class_conditional_cp,100,0.9320615384615384
openml_1486_nomao,class_conditional_cp,100,0.9161661589051694
openml_1489_phoneme,class_conditional_cp,100,0.8454825778600061
openml_1590_adult,class_conditional_cp,100,0.8293615859692224
openml_4534_phishingwebsite,class_conditional_cp,100,0.9183175033921303
openml_23512_higgs,class_conditional_cp,100,0.5229287778344383
openml_23517_numerai28_6,class_conditional_cp,100,0.20980585548172756
