dataset_id,model,cp_method,m_minority,value
openml_3_kr_vs_kp,logistic_regression,global_split_cp,10,0.8732026143790851
openml_24_mushroom,logistic_regression,global_split_cp,10,0.9149425287356323
openml_1486_nomao,logistic_regression,global_split_cp,10,0.7810055865921788
openml_1489_phoneme,logistic_regression,global_split_cp,10,0.6047318611987381
openml_1590_adult,logistic_regression,global_split_cp,10,0.5597519247219847
openml_4534_phishingwebsite,logistic_regression,global_split_cp,10,0.8471428571428572
openml_23512_higgs,logistic_regression,global_split_cp,10,0.7437533802055165
openml_23517_numerai28_6,logistic_regression,global_split_cp,10,0.8363512379353756
openml_3_kr_vs_kp,xgboost,global_split_cp,10,0.8970588235294118
openml_24_mushroom,xgboost,global_split_cp,10,0.8559386973180076
openml_1486_nomao,xgboost,global_split_cp,10,0.7726256983240224
openml_1489_phoneme,xgboost,global_split_cp,10,0.7586750788643533
openml_1590_adult,xgboost,global_split_cp,10,0.5869118905047049
openml_4534_phishingwebsite,xgboost,global_split_cp,10,0.8630612244897959
openml_23512_higgs,xgboost,global_split_cp,10,0.8544835045970794
openml_23517_numerai28_6,xgboost,global_split_cp,10,0.8884179605539236
openml_3_kr_vs_kp,tabpfn,global_split_cp,10,0.8993464052287582
openml_24_mushroom,tabpfn,global_split_cp,10,0.9970625798212005
openml_1486_nomao,tabpfn,global_split_cp,10,0.7643981716607415
openml_1489_phoneme,tabpfn,global_split_cp,10,0.7539432176656151
openml_1590_adult,tabpfn,global_split_cp,10,0.5707442258340463
openml_4534_phishingwebsite,tabpfn,global_split_cp,10,0.8611224489795918
openml_23512_higgs,tabpfn,global_split_cp,10,0.8623904813412656
openml_23517_numerai28_6,tabpfn,global_split_cp,10,0.8414498531263114
openml_3_kr_vs_kp,logistic_regression,global_split_cp,20,0.8728758169934642
openml_24_mushroom,logistic_regression,global_split_cp,20,0.9137931034482758
openml_1486_nomao,logistic_regression,global_split_cp,20,0.7975114271203656
openml_1489_phoneme,logistic_regression,global_split_cp,20,0.6296529968454259
openml_1590_adult,logistic_regression,global_split_cp,20,0.5890076988879385
openml_4534_phishingwebsite,logistic_regression,global_split_cp,20,0.8481632653061224
openml_23512_higgs,logistic_regression,global_split_cp,20,0.7594050838290969
openml_23517_numerai28_6,logistic_regression,global_split_cp,20,0.8421527486361728
openml_3_kr_vs_kp,xgboost,global_split_cp,20,0.8950980392156863
openml_24_mushroom,xgboost,global_split_cp,20,0.8561941251596424
openml_1486_nomao,xgboost,global_split_cp,20,0.7879634332148299
openml_1489_phoneme,xgboost,global_split_cp,20,0.7706624605678234
openml_1590_adult,xgboost,global_split_cp,20,0.6113344739093243
openml_4534_phishingwebsite,xgboost,global_split_cp,20,0.8683673469387756
openml_23512_higgs,xgboost,global_split_cp,20,0.8578799351000541
openml_23517_numerai28_6,xgboost,global_split_cp,20,0.8917331095258078
openml_3_kr_vs_kp,tabpfn,global_split_cp,20,0.8931372549019608
openml_24_mushroom,tabpfn,global_split_cp,20,0.9970625798212005
openml_1486_nomao,tabpfn,global_split_cp,20,0.7824784154393093
openml_1489_phoneme,tabpfn,global_split_cp,20,0.7634069400630914
openml_1590_adult,tabpfn,global_split_cp,20,0.5973909324208726
openml_4534_phishingwebsite,tabpfn,global_split_cp,20,0.8637755102040817
openml_23512_higgs,tabpfn,global_split_cp,20,0.8653109789075175
openml_23517_numerai28_6,tabpfn,global_split_cp,20,0.8480172052035251
openml_3_kr_vs_kp,logistic_regression,global_split_cp,50,0.8784313725490197
openml_24_mushroom,logistic_regression,global_split_cp,50,0.9106002554278417
openml_1486_nomao,logistic_regression,global_split_cp,50,0.8106145251396647
openml_1489_phoneme,logistic_regression,global_split_cp,50,0.714826498422713
openml_1590_adult,logistic_regression,global_split_cp,50,0.678956372968349
openml_4534_phishingwebsite,logistic_regression,global_split_cp,50,0.8580612244897958
openml_23512_higgs,logistic_regression,global_split_cp,50,0.7924391563007032
openml_23517_numerai28_6,logistic_regression,global_split_cp,50,0.855035669324381
openml_3_kr_vs_kp,xgboost,global_split_cp,50,0.8944444444444445
openml_24_mushroom,xgboost,global_split_cp,50,0.8629629629629629
openml_1486_nomao,xgboost,global_split_cp,50,0.8057897409852718
openml_1489_phoneme,xgboost,global_split_cp,50,0.8059936908517351
openml_1590_adult,xgboost,global_split_cp,50,0.6906330196749358
openml_4534_phishingwebsite,xgboost,global_split_cp,50,0.8725510204081633
openml_23512_higgs,xgboost,global_split_cp,50,0.8621308815575986
openml_23517_numerai28_6,xgboost,global_split_cp,50,0.8922681493915233
openml_3_kr_vs_kp,tabpfn,global_split_cp,50,0.89640522875817
openml_24_mushroom,tabpfn,global_split_cp,50,0.9970625798212005
openml_1486_nomao,tabpfn,global_split_cp,50,0.8010157440325039
openml_1489_phoneme,tabpfn,global_split_cp,50,0.7908517350157729
openml_1590_adult,tabpfn,global_split_cp,50,0.6866980325064158
openml_4534_phishingwebsite,tabpfn,global_split_cp,50,0.8676530612244898
openml_23512_higgs,tabpfn,global_split_cp,50,0.8678420767982693
openml_23517_numerai28_6,tabpfn,global_split_cp,50,0.861550566512799
openml_3_kr_vs_kp,logistic_regression,global_split_cp,100,0.8820261437908498
openml_24_mushroom,logistic_regression,global_split_cp,100,0.9085568326947637
openml_1486_nomao,logistic_regression,global_split_cp,100,0.8250888776028441
openml_1489_phoneme,logistic_regression,global_split_cp,100,0.7627760252365932
openml_1590_adult,logistic_regression,global_split_cp,100,0.7743798118049615
openml_4534_phishingwebsite,logistic_regression,global_split_cp,100,0.8590816326530613
openml_23512_higgs,logistic_regression,global_split_cp,100,0.8149486208761493
openml_23517_numerai28_6,logistic_regression,global_split_cp,100,0.8701531682752833
openml_3_kr_vs_kp,xgboost,global_split_cp,100,0.8986928104575164
openml_24_mushroom,xgboost,global_split_cp,100,0.8656449553001277
openml_1486_nomao,xgboost,global_split_cp,100,0.8305738953783646
openml_1489_phoneme,xgboost,global_split_cp,100,0.8261829652996845
openml_1590_adult,xgboost,global_split_cp,100,0.7685628742514969
openml_4534_phishingwebsite,xgboost,global_split_cp,100,0.8765306122448979
openml_23512_higgs,xgboost,global_split_cp,100,0.8687074094104922
openml_23517_numerai28_6,xgboost,global_split_cp,100,0.8890998741082669
openml_3_kr_vs_kp,tabpfn,global_split_cp,100,0.9032679738562092
openml_24_mushroom,tabpfn,global_split_cp,100,0.9970625798212005
openml_1486_nomao,tabpfn,global_split_cp,100,0.8180802437785678
openml_1489_phoneme,tabpfn,global_split_cp,100,0.8189274447949527
openml_1590_adult,tabpfn,global_split_cp,100,0.7739948674080411
openml_4534_phishingwebsite,tabpfn,global_split_cp,100,0.8696938775510205
openml_23512_higgs,tabpfn,global_split_cp,100,0.8755002704164413
openml_23517_numerai28_6,tabpfn,global_split_cp,100,0.8735102811582041
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,10,0.8869281045751635
openml_24_mushroom,logistic_regression,class_conditional_cp,10,0.9264367816091955
openml_1486_nomao,logistic_regression,class_conditional_cp,10,0.8937531742001015
openml_1489_phoneme,logistic_regression,class_conditional_cp,10,0.9198738170347003
openml_1590_adult,logistic_regression,class_conditional_cp,10,0.920530367835757
openml_4534_phishingwebsite,logistic_regression,class_conditional_cp,10,0.9188775510204081
openml_23512_higgs,logistic_regression,class_conditional_cp,10,0.8151757706868578
openml_23517_numerai28_6,logistic_regression,class_conditional_cp,10,0.892404532102392
openml_3_kr_vs_kp,xgboost,class_conditional_cp,10,0.9196078431372549
openml_24_mushroom,xgboost,class_conditional_cp,10,0.9162196679438059
openml_1486_nomao,xgboost,class_conditional_cp,10,0.9007110208227527
openml_1489_phoneme,xgboost,class_conditional_cp,10,0.9053627760252366
openml_1590_adult,xgboost,class_conditional_cp,10,0.9384088964927289
openml_4534_phishingwebsite,xgboost,class_conditional_cp,10,0.918469387755102
openml_23512_higgs,xgboost,class_conditional_cp,10,0.8839264467279611
openml_23517_numerai28_6,xgboost,class_conditional_cp,10,0.8831514897188418
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,10,0.8986928104575164
openml_24_mushroom,tabpfn,class_conditional_cp,10,0.9970625798212005
openml_1486_nomao,tabpfn,class_conditional_cp,10,0.902133062468258
