dataset_id,cp_method,m_minority,value
openml_3_kr_vs_kp,global_split_cp,10,0.8898692810457516
openml_24_mushroom,global_split_cp,10,0.9226479352916134
openml_1486_nomao,global_split_cp,10,0.7726764855256475
openml_1489_phoneme,global_split_cp,10,0.7057833859095689
openml_1590_adult,global_split_cp,10,0.5724693470202452
openml_4534_phishingwebsite,global_split_cp,10,0.8571088435374149
openml_23512_higgs,global_split_cp,10,0.8202091220479538
openml_23517_numerai28_6,global_split_cp,10,0.8554063505385369
openml_3_kr_vs_kp,global_split_cp,20,0.8870370370370371
openml_24_mushroom,global_split_cp,20,0.9223499361430396
openml_1486_nomao,global_split_cp,20,0.7893177585915016
openml_1489_phoneme,global_split_cp,20,0.7212407991587803
openml_1590_adult,global_split_cp,20,0.5992443684060451
openml_4534_phishingwebsite,global_split_cp,20,0.8601020408163265
openml_23512_higgs,global_split_cp,20,0.8275319992788895
openml_23517_numerai28_6,global_split_cp,20,0.8606343544551686
openml_3_kr_vs_kp,global_split_cp,50,0.889760348583878
openml_24_mushroom,global_split_cp,50,0.923541932737335
openml_1486_nomao,global_split_cp,50,0.8058066700524801
openml_1489_phoneme,global_split_cp,50,0.7705573080967402
openml_1590_adult,global_split_cp,50,0.6854291417165669
openml_4534_phishingwebsite,global_split_cp,50,0.8660884353741497
openml_23512_higgs,global_split_cp,50,0.8408040382188571
openml_23517_numerai28_6,global_split_cp,50,0.8696181284095678
openml_3_kr_vs_kp,global_split_cp,100,0.8946623093681917
openml_24_mushroom,global_split_cp,100,0.9237547892720307
openml_1486_nomao,global_split_cp,100,0.8245810055865922
openml_1489_phoneme,global_split_cp,100,0.8026288117770767
openml_1590_adult,global_split_cp,100,0.7723125178214999
openml_4534_phishingwebsite,global_split_cp,100,0.8684353741496599
openml_23512_higgs,global_split_cp,100,0.853052100234361
openml_23517_numerai28_6,global_split_cp,100,0.877587774513918
openml_3_kr_vs_kp,class_conditional_cp,10,0.9017429193899782
openml_24_mushroom,class_conditional_cp,10,0.9465730097914006
openml_1486_nomao,class_conditional_cp,10,0.8988657524970375
openml_1489_phoneme,class_conditional_cp,10,0.9141955835962144
openml_1590_adult,class_conditional_cp,10,0.9308240661534075
openml_4534_phishingwebsite,class_conditional_cp,10,0.912891156462585
openml_23512_higgs,class_conditional_cp,10,0.8594159004867497
openml_23517_numerai28_6,class_conditional_cp,10,0.8883340327318506
openml_3_kr_vs_kp,class_conditional_cp,20,0.884313725490196
openml_24_mushroom,class_conditional_cp,20,0.9370796083439762
openml_1486_nomao,class_conditional_cp,20,0.8909260199762994
openml_1489_phoneme,class_conditional_cp,20,0.9005257623554154
openml_1590_adult,class_conditional_cp,20,0.9213572854291417
openml_4534_phishingwebsite,class_conditional_cp,20,0.9209183673469388
openml_23512_higgs,class_conditional_cp,20,0.8986767622138092
openml_23517_numerai28_6,class_conditional_cp,20,0.9068541054692965
openml_3_kr_vs_kp,class_conditional_cp,50,0.8862745098039216
openml_24_mushroom,class_conditional_cp,50,0.9292464878671775
openml_1486_nomao,class_conditional_cp,50,0.8869984763839512
openml_1489_phoneme,class_conditional_cp,50,0.8972660357518402
openml_1590_adult,class_conditional_cp,50,0.8997148560022812
openml_4534_phishingwebsite,class_conditional_cp,50,0.9019387755102042
openml_23512_higgs,class_conditional_cp,50,0.8969749414097711
openml_23517_numerai28_6,class_conditional_cp,50,0.9077773115120996
openml_3_kr_vs_kp,class_conditional_cp,100,0.8970588235294117
openml_24_mushroom,class_conditional_cp,100,0.9249467858663262
openml_1486_nomao,class_conditional_cp,100,0.8851362789910275
openml_1489_phoneme,class_conditional_cp,100,0.8934805467928496
openml_1590_adult,class_conditional_cp,100,0.9068291987453665
openml_4534_phishingwebsite,class_conditional_cp,100,0.9025510204081633
openml_23512_higgs,class_conditional_cp,100,0.9012222823147648
openml_23517_numerai28_6,class_conditional_cp,100,0.9025493075954679
