dataset_id,model,cp_method,m_minority,value
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,10,0.5191524701438168
openml_24_mushroom,logistic_regression,class_conditional_cp,10,0.0606682055033112
openml_1486_nomao,logistic_regression,class_conditional_cp,10,0.6282725380536772
openml_1489_phoneme,logistic_regression,class_conditional_cp,10,1.408602791337727
openml_1590_adult,logistic_regression,class_conditional_cp,10,1.2911467556808602
openml_4534_phishingwebsite,logistic_regression,class_conditional_cp,10,0.8336753454229247
openml_23512_higgs,logistic_regression,class_conditional_cp,10,1.2073516266585516
openml_23517_numerai28_6,logistic_regression,class_conditional_cp,10,1.0798282222321738
openml_3_kr_vs_kp,xgboost,class_conditional_cp,10,0.15869689583778382
openml_24_mushroom,xgboost,class_conditional_cp,10,0.010686451196670532
openml_1486_nomao,xgboost,class_conditional_cp,10,0.41449451446533203
openml_1489_phoneme,xgboost,class_conditional_cp,10,1.1609062757343054
openml_1590_adult,xgboost,class_conditional_cp,10,1.2766128901479532
openml_4534_phishingwebsite,xgboost,class_conditional_cp,10,0.6093936774879694
openml_23512_higgs,xgboost,class_conditional_cp,10,1.343399952352047
openml_23517_numerai28_6,xgboost,class_conditional_cp,10,1.1561197817325592
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,10,0.08026142716407776
openml_24_mushroom,tabpfn,class_conditional_cp,10,2.5987625122070312e-05
openml_1486_nomao,tabpfn,class_conditional_cp,10,0.3543205797672272
openml_1489_phoneme,tabpfn,class_conditional_cp,10,1.0175749499583617
openml_1590_adult,tabpfn,class_conditional_cp,10,1.3000261335648247
openml_4534_phishingwebsite,tabpfn,class_conditional_cp,10,0.34836279447190466
openml_23512_higgs,tabpfn,class_conditional_cp,10,1.3962753543630242
openml_23517_numerai28_6,tabpfn,class_conditional_cp,10,1.0693408757448197
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,20,0.4902980119476168
openml_24_mushroom,logistic_regression,class_conditional_cp,20,0.05273271694912228
openml_1486_nomao,logistic_regression,class_conditional_cp,20,0.5805198924699435
openml_1489_phoneme,logistic_regression,class_conditional_cp,20,1.3994837320499314
openml_1590_adult,logistic_regression,class_conditional_cp,20,1.2840552328125256
openml_4534_phishingwebsite,logistic_regression,class_conditional_cp,20,0.8725165078364061
openml_23512_higgs,logistic_regression,class_conditional_cp,20,1.2447884235960065
openml_23517_numerai28_6,logistic_regression,class_conditional_cp,20,1.0772283477282558
openml_3_kr_vs_kp,xgboost,class_conditional_cp,20,0.10723795294761658
openml_24_mushroom,xgboost,class_conditional_cp,20,0.008759206533432007
openml_1486_nomao,xgboost,class_conditional_cp,20,0.39158232808113097
openml_1489_phoneme,xgboost,class_conditional_cp,20,1.1050591349601746
openml_1590_adult,xgboost,class_conditional_cp,20,1.2500298097729683
openml_4534_phishingwebsite,xgboost,class_conditional_cp,20,0.5188478216528892
openml_23512_higgs,xgboost,class_conditional_cp,20,1.3679928168654443
openml_23517_numerai28_6,xgboost,class_conditional_cp,20,1.1529083788394927
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,20,0.015150713920593261
openml_24_mushroom,tabpfn,class_conditional_cp,20,2.5987625122070312e-05
openml_1486_nomao,tabpfn,class_conditional_cp,20,0.33533674478530884
openml_1489_phoneme,tabpfn,class_conditional_cp,20,0.9776610173285007
openml_1590_adult,tabpfn,class_conditional_cp,20,1.2771951716393233
openml_4534_phishingwebsite,tabpfn,class_conditional_cp,20,0.2281120240688324
openml_23512_higgs,tabpfn,class_conditional_cp,20,1.423790118843317
openml_23517_numerai28_6,tabpfn,class_conditional_cp,20,1.070020031929016
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,50,0.48148967973073464
openml_24_mushroom,logistic_regression,class_conditional_cp,50,0.038673122027121476
openml_1486_nomao,logistic_regression,class_conditional_cp,50,0.5641615759964701
openml_1489_phoneme,logistic_regression,class_conditional_cp,50,1.389531907427159
openml_1590_adult,logistic_regression,class_conditional_cp,50,1.2564626135174548
openml_4534_phishingwebsite,logistic_regression,class_conditional_cp,50,0.701453121820696
openml_23512_higgs,logistic_regression,class_conditional_cp,50,1.242125134322091
openml_23517_numerai28_6,logistic_regression,class_conditional_cp,50,1.0765987753278616
openml_3_kr_vs_kp,xgboost,class_conditional_cp,50,0.0882879912853241
openml_24_mushroom,xgboost,class_conditional_cp,50,0.005354470014572144
openml_1486_nomao,xgboost,class_conditional_cp,50,0.3272969156503677
openml_1489_phoneme,xgboost,class_conditional_cp,50,1.1231530100107192
openml_1590_adult,xgboost,class_conditional_cp,50,1.2095562860369682
openml_4534_phishingwebsite,xgboost,class_conditional_cp,50,0.3996282577514648
openml_23512_higgs,xgboost,class_conditional_cp,50,1.3493480294942857
openml_23517_numerai28_6,xgboost,class_conditional_cp,50,1.1489959895610808
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,50,0.009477120637893677
openml_24_mushroom,tabpfn,class_conditional_cp,50,2.5987625122070312e-05
openml_1486_nomao,tabpfn,class_conditional_cp,50,0.3237295925617218
openml_1489_phoneme,tabpfn,class_conditional_cp,50,0.9536028608679772
openml_1590_adult,tabpfn,class_conditional_cp,50,1.2461871135979892
openml_4534_phishingwebsite,tabpfn,class_conditional_cp,50,0.16883465051651
openml_23512_higgs,tabpfn,class_conditional_cp,50,1.4202431753277778
openml_23517_numerai28_6,tabpfn,class_conditional_cp,50,1.0691118359565734
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,100,0.4608782451289902
openml_24_mushroom,logistic_regression,class_conditional_cp,100,0.03440066989994363
openml_1486_nomao,logistic_regression,class_conditional_cp,100,0.5506477463609362
openml_1489_phoneme,logistic_regression,class_conditional_cp,100,1.3827991285558379
openml_1590_adult,logistic_regression,class_conditional_cp,100,1.257121438483118
openml_4534_phishingwebsite,logistic_regression,class_conditional_cp,100,0.7235155777493549
openml_23512_higgs,logistic_regression,class_conditional_cp,100,1.249164686222435
openml_23517_numerai28_6,logistic_regression,class_conditional_cp,100,1.0757453810302426
openml_3_kr_vs_kp,xgboost,class_conditional_cp,100,0.09163060188293456
openml_24_mushroom,xgboost,class_conditional_cp,100,0.004416239261627197
openml_1486_nomao,xgboost,class_conditional_cp,100,0.3106716156005859
openml_1489_phoneme,xgboost,class_conditional_cp,100,1.1327665746212006
openml_1590_adult,xgboost,class_conditional_cp,100,1.218367825448513
