dataset_id,cp_method,m_minority,value
openml_3_kr_vs_kp,class_conditional_cp,10,0.25270359771522616
openml_24_mushroom,class_conditional_cp,10,0.023793548108367934
openml_1486_nomao,class_conditional_cp,10,0.46569587742874546
openml_1489_phoneme,class_conditional_cp,10,1.1956946723434647
openml_1590_adult,class_conditional_cp,10,1.2892619264645462
openml_4534_phishingwebsite,class_conditional_cp,10,0.5971439391275996
openml_23512_higgs,class_conditional_cp,10,1.315675644457874
openml_23517_numerai28_6,class_conditional_cp,10,1.1017629599031842
openml_3_kr_vs_kp,class_conditional_cp,20,0.20422889293860888
openml_24_mushroom,class_conditional_cp,20,0.020505970369225454
openml_1486_nomao,class_conditional_cp,20,0.4358129884454611
openml_1489_phoneme,class_conditional_cp,20,1.160734628112869
openml_1590_adult,class_conditional_cp,20,1.270426738074939
openml_4534_phishingwebsite,class_conditional_cp,20,0.5398254511860425
openml_23512_higgs,class_conditional_cp,20,1.3455237864349228
openml_23517_numerai28_6,class_conditional_cp,20,1.100052252832255
openml_3_kr_vs_kp,class_conditional_cp,50,0.19308493055131748
openml_24_mushroom,class_conditional_cp,50,0.01468452655560523
openml_1486_nomao,class_conditional_cp,50,0.40506269473618656
openml_1489_phoneme,class_conditional_cp,50,1.155429259435285
openml_1590_adult,class_conditional_cp,50,1.2374020043841374
openml_4534_phishingwebsite,class_conditional_cp,50,0.4233053433628903
openml_23512_higgs,class_conditional_cp,50,1.337238779714718
openml_23517_numerai28_6,class_conditional_cp,50,1.098235533615172
openml_3_kr_vs_kp,class_conditional_cp,100,0.18756326373875173
openml_24_mushroom,class_conditional_cp,100,0.012947632262230965
openml_1486_nomao,class_conditional_cp,100,0.3879612342637904
openml_1489_phoneme,class_conditional_cp,100,1.1490493548789233
openml_1590_adult,class_conditional_cp,100,1.2459628527196642
openml_4534_phishingwebsite,class_conditional_cp,100,0.4026975974890733
openml_23512_higgs,class_conditional_cp,100,1.3372116781339252
openml_23517_numerai28_6,class_conditional_cp,100,1.09687445498599
