dataset_id,model,m_minority,across_seed_sd,across_seed_iqr,across_seed_mean
openml_3_kr_vs_kp,logistic_regression,10,0.21704568937043675,0.32775786421894926,0.3099048776118285
openml_3_kr_vs_kp,logistic_regression,20,0.16042946408251516,0.10151088587329773,0.28105041941562847
openml_3_kr_vs_kp,logistic_regression,50,0.09457505604558825,0.13892211617706765,0.2722420871987463
openml_3_kr_vs_kp,logistic_regression,100,0.04835903689895015,0.09128674146216365,0.2516306525970019
openml_24_mushroom,logistic_regression,10,0.03577325429913861,0.05119798256275873,0.041204112876702906
openml_24_mushroom,logistic_regression,20,0.03462604809173787,0.012465429279723467,0.033268624322513984
openml_24_mushroom,logistic_regression,50,0.017490614206081535,0.0038659409673576506,0.019209029400513177
openml_24_mushroom,logistic_regression,100,0.0055566667506812195,0.009220664877443191,0.014936577273335328
openml_1486_nomao,logistic_regression,10,0.20401325765039227,0.16247856306908998,0.47935117687345274
openml_1486_nomao,logistic_regression,20,0.16552999557736026,0.23701022314019182,0.43159853128971903
openml_1486_nomao,logistic_regression,50,0.13999251507542435,0.1547370297442079,0.4152402148162456
openml_1486_nomao,logistic_regression,100,0.14961610626647498,0.23491764352502814,0.4017263851807117
openml_1489_phoneme,logistic_regression,10,0.05289558050750666,0.04590394883242621,0.8438377125815286
openml_1489_phoneme,logistic_regression,20,0.05496733614203443,0.06788521192106134,0.8347186532937332
openml_1489_phoneme,logistic_regression,50,0.0467184895636141,0.08034426759053503,0.8247668286709608
openml_1489_phoneme,logistic_regression,100,0.04858938827738513,0.0803958067855759,0.8180340497996397
openml_1590_adult,logistic_regression,10,0.08643277435906428,0.13140059743700971,0.8608426326258755
openml_1590_adult,logistic_regression,20,0.06873999814229222,0.08235960149421406,0.853751109757541
openml_1590_adult,logistic_regression,50,0.061754822804031044,0.055381135971551476,0.8261584904624699
openml_1590_adult,logistic_regression,100,0.0403165484147943,0.049237166990510506,0.8268173154281332
openml_4534_phishingwebsite,logistic_regression,10,0.30425372970373954,0.46560547982045986,0.6003979658772478
openml_4534_phishingwebsite,logistic_regression,20,0.25685166408013244,0.3507826445517218,0.6392391282907293
openml_4534_phishingwebsite,logistic_regression,50,0.17559680814017176,0.20204054827676,0.46817574227501907
openml_4534_phishingwebsite,logistic_regression,100,0.13774530049253203,0.1940838360057895,0.490238198203678
openml_23512_higgs,logistic_regression,10,0.055835412084328316,0.08195161044509958,0.6267216915390882
openml_23512_higgs,logistic_regression,20,0.034166153759492425,0.0461803159681442,0.664158488476543
openml_23512_higgs,logistic_regression,50,0.02225020737066158,0.015236277423868572,0.6614951992026274
openml_23512_higgs,logistic_regression,100,0.015194518029937964,0.025089841706185667,0.6685347511029716
openml_23517_numerai28_6,logistic_regression,10,0.019347567925552474,0.0208870305732195,0.5470851811614097
openml_23517_numerai28_6,logistic_regression,20,0.013820371566153527,0.01401320457089883,0.5444853066574916
openml_23517_numerai28_6,logistic_regression,50,0.006397978303372168,0.006275402793695983,0.5438557342570973
openml_23517_numerai28_6,logistic_regression,100,0.004085556582801267,0.0064285879147841785,0.5430023399594786
openml_3_kr_vs_kp,xgboost,10,0.10621319915090564,0.1396736055612564,0.11386549472808838
openml_3_kr_vs_kp,xgboost,20,0.0668269351094846,0.047737300395965576,0.06240655183792114
openml_3_kr_vs_kp,xgboost,50,0.030250027027544313,0.022014394402503967,0.04345659017562866
openml_3_kr_vs_kp,xgboost,100,0.021654203368985308,0.021050333976745605,0.04679920077323914
openml_24_mushroom,xgboost,10,0.011787475780101723,0.00941208004951477,0.008766877651214599
openml_24_mushroom,xgboost,20,0.011226634295577234,0.0014267712831497192,0.006839632987976074
openml_24_mushroom,xgboost,50,0.0029234992460085442,0.0010354965925216675,0.003434896469116211
openml_24_mushroom,xgboost,100,0.00043916230141692825,0.0003706216812133789,0.0024966657161712646
openml_1486_nomao,xgboost,10,0.19281120304672106,0.2526828944683075,0.3524241268634796
openml_1486_nomao,xgboost,20,0.18980423626350548,0.1756887584924698,0.32951194047927856
openml_1486_nomao,xgboost,50,0.15224409459543115,0.13884085416793823,0.2652265280485153
openml_1486_nomao,xgboost,100,0.12122772759225751,0.14012087881565094,0.24860122799873352
