model,m_minority,n_datasets,sd_median,sd_min,sd_max,iqr_median,iqr_min,iqr_max
logistic_regression,10,8,0.0711340932216963,0.019347567925552474,0.30425372970373954,0.10667610394105465,0.0208870305732195,0.46560547982045986
logistic_regression,20,8,0.061853667142163324,0.013820371566153527,0.25685166408013244,0.0751224067076377,0.012465429279723467,0.3507826445517218
logistic_regression,50,8,0.054236656183822576,0.006397978303372168,0.17559680814017176,0.06786270178104326,0.0038659409673576506,0.20204054827676
logistic_regression,100,8,0.044337792656872224,0.004085556582801267,0.14961610626647498,0.0648164868880432,0.0064285879147841785,0.23491764352502814
xgboost,10,8,0.10371126378758116,0.011787475780101723,0.3880958904456789,0.14700698666274548,0.00941208004951477,0.7272840086370707
xgboost,20,8,0.0859931281011637,0.011226634295577234,0.25804524547054875,0.09334443882107735,0.0014267712831497192,0.3301016613841057
xgboost,50,8,0.05848888967745661,0.0029234992460085442,0.16174144938928348,0.07892985083162785,0.0010354965925216675,0.25095290690660477
xgboost,100,8,0.029806608179949595,0.00043916230141692825,0.12122772759225751,0.03673597425222397,0.0003706216812133789,0.1807403415441513
tabpfn,10,8,0.13868833791468838,0.0,0.36757965990713637,0.09768062271177769,0.0,0.5371671766042709
tabpfn,20,8,0.07764015382449227,0.0,0.19858239151067827,0.08486506156623363,0.0,0.20583807304501534
tabpfn,50,8,0.0653130870725031,0.0,0.149494037104055,0.05475489981472492,0.0,0.20620034262537956
tabpfn,100,8,0.0315616740217177,0.0,0.1279459361503822,0.05101631209254265,0.0,0.18827969580888748
