cp_method,m_minority,metric,median,q25,q75,iqr,mean,n_datasets
class_conditional_cp,50,coverage_minority,0.8984904458770606,0.8944808251533161,0.903398409510678,0.008917584357361896,0.9007739242801557,8
class_conditional_cp,50,coverage_majority,0.9043956640769306,0.8989894094832269,0.9071913763266594,0.00820196684343244,0.9063187242620889,8
class_conditional_cp,50,singleton_rate,0.8674772105303732,0.7548279801490236,0.9176493247595556,0.162821344610532,0.7582786385153529,8
class_conditional_cp,50,average_set_size,1.0416118408880668,0.9185169089466874,1.2451720198509764,0.326655110904289,1.1570804952658178,8
class_conditional_cp,50,q_minority,0.43629706752626574,0.24457876564835096,0.7132769252071989,0.4686981595588479,0.4429418671088164,8
class_conditional_cp,50,threshold_sum,0.760770438489031,0.3520682536899693,1.1759224456724982,0.8238541919825288,0.733055384044414,8
class_conditional_cp,100,coverage_minority,0.9018857949551162,0.8961642543452712,0.903620564992464,0.007456310647192765,0.9017217805304221,8
class_conditional_cp,100,coverage_majority,0.9043956640769306,0.8989894094832269,0.9071913763266594,0.00820196684343244,0.9063187242620889,8
class_conditional_cp,100,singleton_rate,0.8740173305966696,0.7527533839355265,0.9167039950269096,0.1639506110913831,0.7595845101546956,8
class_conditional_cp,100,average_set_size,1.036598145117294,0.9177796672703902,1.2472466160644735,0.32946694879408334,1.156016977072479,8
class_conditional_cp,100,q_minority,0.42706579797547667,0.2277425395398468,0.7116616228825137,0.48391908334266687,0.4374199916234459,8
class_conditional_cp,100,threshold_sum,0.7497860262375315,0.33786174163253085,1.1732777293391088,0.8354159877065779,0.7275335085590436,8
global_split_cp,50,coverage_minority,0.8534462367965032,0.7969943295635452,0.8746536834531452,0.07765935388959999,0.8314507503986968,8
global_split_cp,50,coverage_majority,0.9212196339282424,0.9067460576841311,0.9357409900386762,0.02899493235454509,0.9228773517496884,8
global_split_cp,50,singleton_rate,0.900654468301175,0.8063022226666999,0.910883435967018,0.10458121330031811,0.7844467477589758,8
global_split_cp,50,average_set_size,0.9986165615460734,0.9034754137073492,1.1613666024951872,0.257891188787838,1.119404406235857,8
global_split_cp,50,q_minority,,,,,,0
global_split_cp,50,threshold_sum,,,,,,0
global_split_cp,100,coverage_minority,0.8607437371920104,0.8190929571342134,0.8818564082274863,0.06276345109327297,0.8521268353404162,8
global_split_cp,100,coverage_majority,0.9270901216785313,0.9116200791343423,0.9408780877823515,0.029258008648009204,0.9296628204497808,8
global_split_cp,100,singleton_rate,0.8826081656645081,0.7741012677135559,0.9083912844807522,0.13429001676719632,0.768526160122102,8
global_split_cp,100,average_set_size,1.0252818615242298,0.9128717277072952,1.225898732286444,0.3130270045791489,1.1431012423502995,8
global_split_cp,100,q_minority,,,,,,0
global_split_cp,100,threshold_sum,,,,,,0
