dataset_id,model,cp_method,m_minority,n_cells,n_unique_seeds,n_expected_seeds,complete,all_status_pass
openml_3_kr_vs_kp,logistic_regression,global_split_cp,10,10,10,10,True,True
openml_3_kr_vs_kp,logistic_regression,global_split_cp,20,10,10,10,True,True
openml_3_kr_vs_kp,logistic_regression,global_split_cp,50,10,10,10,True,True
openml_3_kr_vs_kp,logistic_regression,global_split_cp,100,10,10,10,True,True
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,10,10,10,10,True,True
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,20,10,10,10,True,True
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,50,10,10,10,True,True
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,100,10,10,10,True,True
openml_3_kr_vs_kp,xgboost,global_split_cp,10,10,10,10,True,True
openml_3_kr_vs_kp,xgboost,global_split_cp,20,10,10,10,True,True
openml_3_kr_vs_kp,xgboost,global_split_cp,50,10,10,10,True,True
openml_3_kr_vs_kp,xgboost,global_split_cp,100,10,10,10,True,True
openml_3_kr_vs_kp,xgboost,class_conditional_cp,10,10,10,10,True,True
openml_3_kr_vs_kp,xgboost,class_conditional_cp,20,10,10,10,True,True
openml_3_kr_vs_kp,xgboost,class_conditional_cp,50,10,10,10,True,True
openml_3_kr_vs_kp,xgboost,class_conditional_cp,100,10,10,10,True,True
openml_3_kr_vs_kp,tabpfn,global_split_cp,10,10,10,10,True,True
openml_3_kr_vs_kp,tabpfn,global_split_cp,20,10,10,10,True,True
openml_3_kr_vs_kp,tabpfn,global_split_cp,50,10,10,10,True,True
openml_3_kr_vs_kp,tabpfn,global_split_cp,100,10,10,10,True,True
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,10,10,10,10,True,True
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,20,10,10,10,True,True
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,50,10,10,10,True,True
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,100,10,10,10,True,True
