endpoint_tag,comparison,family,preregistered_endpoint,inference_status,metric,effect_median_dj,ci95_low,ci95_high,ci_width,direction_positive,direction_negative,direction_zero,wilcoxon_p_exact_two_sided,wilcoxon_n_zero_discarded,holm_p_within_family,holm_family_size,bootstrap_seed_uint32
rq1a_cc_m100_minus_m50_singleton_rate,RQ1-A: Class-Conditional CP m=100 minus m=50 (primary),A_confirmatory,True,confirmatory_preregistered,singleton_rate,-0.000841285704471582,-0.002071794871794874,0.005734357696567,0.007806152568361874,3,5,0,0.7421875,0,1.0,2,3463499878
rq1a_cc_m100_minus_m50_average_set_size,RQ1-A: Class-Conditional CP m=100 minus m=50 (primary),A_confirmatory,True,confirmatory_preregistered,average_set_size,-0.000841285704471582,-0.0057343576965669905,0.002770695223525406,0.008505052920092397,3,5,0,0.640625,0,1.0,2,2091866134
rq1a_cc_m100_minus_m50_coverage_minority,RQ1-A: Class-Conditional CP m=100 minus m=50 (secondary outcome),A_secondary_descriptive,False,exploratory_not_preregistered,coverage_minority,-0.0006249762474822395,-0.004299702000851428,0.007114342743085256,0.011414044743936685,4,4,0,0.84375,0,1.0,6,3464345281
rq1a_cc_m100_minus_m50_coverage_majority,RQ1-A: Class-Conditional CP m=100 minus m=50 (secondary outcome),A_secondary_descriptive,False,exploratory_not_preregistered,coverage_majority,0.0,0.0,0.0,0.0,0,0,8,,8,,6,648646170
rq1a_cc_m100_minus_m50_threshold_sum,RQ1-A: Class-Conditional CP m=100 minus m=50 (secondary outcome),A_secondary_descriptive,False,exploratory_not_preregistered,threshold_sum,-0.003629280552969999,-0.013493825215089326,-2.7101580793013428e-05,0.013466723634296312,1,7,0,0.109375,0,1.0,6,1826867944
rq1a_cc_m100_minus_m50_threshold_gap,RQ1-A: Class-Conditional CP m=100 minus m=50 (secondary outcome),A_secondary_descriptive,False,exploratory_not_preregistered,threshold_gap,-0.0045534231029859115,-0.01710146047239608,-0.0006820566487813188,0.016419403823614762,1,7,0,0.078125,0,0.46875,6,3028340817
rq1a_cc_m100_minus_m50_empty_rate,RQ1-A: Class-Conditional CP m=100 minus m=50 (secondary outcome),A_secondary_descriptive,False,exploratory_not_preregistered,empty_rate,0.0,-0.00040086339808819007,0.0010493737608201566,0.0014502371589083466,3,2,3,0.8125,3,1.0,6,2249267805
rq1a_cc_m100_minus_m50_doubleton_rate,RQ1-A: Class-Conditional CP m=100 minus m=50 (secondary outcome),A_secondary_descriptive,False,exploratory_not_preregistered,doubleton_rate,0.0,-0.005734357696567005,0.0018425632101545695,0.007576920906721575,2,2,4,0.625,4,1.0,6,2123670303
rq2b_cc_minus_global_m50_coverage_minority,RQ2-B: Class-Conditional minus Global at m=50,B_confirmatory,True,confirmatory_preregistered,coverage_minority,0.047165043146722915,0.005704555129842485,0.12670872765509988,0.1210041725252574,7,1,0,0.015625,0,0.109375,10,2190126395
rq2b_cc_minus_global_m50_coverage_majority,RQ2-B: Class-Conditional minus Global at m=50,B_confirmatory,True,confirmatory_preregistered,coverage_majority,-0.011764582712055204,-0.03145724258289704,-0.0007521773555027699,0.03070506522739427,0,8,0,0.0078125,0,0.078125,10,2123676136
rq2b_cc_minus_global_m50_coverage_disparity,RQ2-B: Class-Conditional minus Global at m=50,B_confirmatory,True,confirmatory_preregistered,coverage_disparity,-0.02295717650416742,-0.1188235310309897,-0.0010319026066966219,0.11779162842429308,1,7,0,0.0546875,0,0.1640625,10,2549413808
rq2b_cc_minus_global_m50_singleton_rate,RQ2-B: Class-Conditional minus Global at m=50,B_confirmatory,True,confirmatory_preregistered,singleton_rate,-0.01584025470653378,-0.06565187829338771,0.01503090607568219,0.08068278436906991,3,5,0,0.25,0,0.390625,10,1590941411
rq2b_cc_minus_global_m50_average_set_size,RQ2-B: Class-Conditional minus Global at m=50,B_confirmatory,True,confirmatory_preregistered,average_set_size,0.022908136071686822,0.0023589743589743565,0.07015109466543322,0.06779212030645887,7,1,0,0.015625,0,0.109375,10,1118808706
rq2b_cc_minus_global_m100_coverage_minority,RQ2-B: Class-Conditional minus Global at m=100,B_confirmatory,True,confirmatory_preregistered,coverage_minority,0.04114291416945361,0.002396514161220046,0.09085173501577286,0.08845522085455282,8,0,0,0.0078125,0,0.078125,10,2689432994
rq2b_cc_minus_global_m100_coverage_majority,RQ2-B: Class-Conditional minus Global at m=100,B_confirmatory,True,confirmatory_preregistered,coverage_majority,-0.016876750854398114,-0.04323734729493891,-0.0031936127744510933,0.04004373452048782,0,8,0,0.0078125,0,0.078125,10,2954497758
rq2b_cc_minus_global_m100_coverage_disparity,RQ2-B: Class-Conditional minus Global at m=100,B_confirmatory,True,confirmatory_preregistered,coverage_disparity,-0.02851481588512273,-0.10014410292830361,-0.0016507757381975777,0.09849332719010603,1,7,0,0.0234375,0,0.1171875,10,4228830128
rq2b_cc_minus_global_m100_singleton_rate,RQ2-B: Class-Conditional minus Global at m=100,B_confirmatory,True,confirmatory_preregistered,singleton_rate,-0.006608094545957922,-0.016712920135676834,0.001054209584602735,0.017767129720279568,3,5,0,0.1953125,0,0.390625,10,1514537655
rq2b_cc_minus_global_m100_average_set_size,RQ2-B: Class-Conditional minus Global at m=100,B_confirmatory,True,confirmatory_preregistered,average_set_size,0.012456939808282674,0.00036923076923076986,0.022263336416897938,0.021894105647667167,7,1,0,0.0234375,0,0.1171875,10,951501579
