endpoint_tag,comparison,family,preregistered_endpoint,inference_status,metric,effect_median_dj,ci95_low,ci95_high,ci_width,direction_positive,direction_negative,direction_zero,wilcoxon_p_exact_two_sided,wilcoxon_n_zero_discarded,holm_p_within_family,holm_family_size,bootstrap_seed_uint32
rq3c_gl_m50_xgb_minus_lr_coverage_minority,"RQ3-C: xgboost minus logistic_regression at global_split_cp, m=50",C_exploratory,False,exploratory_not_preregistered,coverage_minority,0.01525143390689609,-0.00482478415439308,0.06969172525689563,0.0745165094112887,6,2,0,0.1484375,0,1.0,90,33433547
rq3c_gl_m50_xgb_minus_lr_coverage_majority,"RQ3-C: xgboost minus logistic_regression at global_split_cp, m=50",C_exploratory,False,exploratory_not_preregistered,coverage_majority,-3.4453843423609644e-05,-0.01308900523560209,0.004488220958570255,0.017577226194172346,4,4,0,0.640625,0,1.0,90,3072398950
rq3c_gl_m50_xgb_minus_lr_coverage_disparity,"RQ3-C: xgboost minus logistic_regression at global_split_cp, m=50",C_exploratory,False,exploratory_not_preregistered,coverage_disparity,-0.01875776122535659,-0.0840670267523129,0.009313005112963336,0.09338003186527623,2,6,0,0.1484375,0,1.0,90,198993517
rq3c_gl_m50_xgb_minus_lr_singleton_rate,"RQ3-C: xgboost minus logistic_regression at global_split_cp, m=50",C_exploratory,False,exploratory_not_preregistered,singleton_rate,-0.006190281354272448,-0.025915875169606493,0.1379245283018868,0.1638404034714933,3,5,0,0.7421875,0,1.0,90,2576907715
rq3c_gl_m50_xgb_minus_lr_average_set_size,"RQ3-C: xgboost minus logistic_regression at global_split_cp, m=50",C_exploratory,False,exploratory_not_preregistered,average_set_size,-0.021173322200187875,-0.13792452830188678,-0.0010937500000000044,0.13683077830188678,1,7,0,0.078125,0,1.0,90,1920776149
rq3c_gl_m50_xgb_minus_lr_empty_rate,"RQ3-C: xgboost minus logistic_regression at global_split_cp, m=50",C_exploratory,False,exploratory_not_preregistered,empty_rate,0.0061902813542724505,0.0,0.016430769230769228,0.016430769230769228,6,0,2,0.03125,2,1.0,90,1578661265
rq3c_gl_m50_xgb_minus_lr_doubleton_rate,"RQ3-C: xgboost minus logistic_regression at global_split_cp, m=50",C_exploratory,False,exploratory_not_preregistered,doubleton_rate,0.0,-0.1379245283018868,0.0,0.1379245283018868,1,3,4,0.25,4,1.0,90,2575204575
rq3c_gl_m50_tabpfn_minus_lr_coverage_minority,"RQ3-C: tabpfn minus logistic_regression at global_split_cp, m=50",C_exploratory,False,exploratory_not_preregistered,coverage_minority,0.013782846471922105,0.006514897188417979,0.07602523659305993,0.06951033940464195,7,1,0,0.0546875,0,1.0,90,2113649595
rq3c_gl_m50_tabpfn_minus_lr_coverage_majority,"RQ3-C: tabpfn minus logistic_regression at global_split_cp, m=50",C_exploratory,False,exploratory_not_preregistered,coverage_majority,0.0009201016618357982,-0.017140536149471985,0.00580828594638505,0.022948822095857035,5,3,0,1.0,0,1.0,90,1789685213
rq3c_gl_m50_tabpfn_minus_lr_coverage_disparity,"RQ3-C: tabpfn minus logistic_regression at global_split_cp, m=50",C_exploratory,False,exploratory_not_preregistered,coverage_disparity,-0.007962948186110368,-0.08678738745366851,0.0026535164964189284,0.08944090395008744,2,6,0,0.109375,0,1.0,90,669122165
rq3c_gl_m50_tabpfn_minus_lr_singleton_rate,"RQ3-C: tabpfn minus logistic_regression at global_split_cp, m=50",C_exploratory,False,exploratory_not_preregistered,singleton_rate,0.00813606017760261,-0.012752067314667038,0.15832738398776133,0.17107945130242838,4,4,0,0.3828125,0,1.0,90,1137844200
