endpoint_tag,family,dataset_id,model,aggregation,d
rq1a_cc_m100_minus_m50_singleton_rate,A_confirmatory,openml_3_kr_vs_kp,logistic_regression,pooled_30_contrasts,-0.00140625000000002
rq1a_cc_m100_minus_m50_singleton_rate,A_confirmatory,openml_3_kr_vs_kp,xgboost,pooled_30_contrasts,0.0050000000000000044
rq1a_cc_m100_minus_m50_singleton_rate,A_confirmatory,openml_3_kr_vs_kp,tabpfn,pooled_30_contrasts,0.009375
rq1a_cc_m100_minus_m50_singleton_rate,A_confirmatory,openml_3_kr_vs_kp,(pooled_3_pipelines),pooled_30_contrasts,0.0043229166666666615
rq1a_cc_m100_minus_m50_singleton_rate,A_confirmatory,openml_24_mushroom,logistic_regression,pooled_30_contrasts,-0.0011692307692307558
rq1a_cc_m100_minus_m50_singleton_rate,A_confirmatory,openml_24_mushroom,xgboost,pooled_30_contrasts,-0.005046153846153867
rq1a_cc_m100_minus_m50_singleton_rate,A_confirmatory,openml_24_mushroom,tabpfn,pooled_30_contrasts,0.0
rq1a_cc_m100_minus_m50_singleton_rate,A_confirmatory,openml_24_mushroom,(pooled_3_pipelines),pooled_30_contrasts,-0.002071794871794874
rq1a_cc_m100_minus_m50_singleton_rate,A_confirmatory,openml_1486_nomao,logistic_regression,pooled_30_contrasts,-0.0016538517336428305
rq1a_cc_m100_minus_m50_singleton_rate,A_confirmatory,openml_1486_nomao,xgboost,pooled_30_contrasts,8.704482808649105e-05
rq1a_cc_m100_minus_m50_singleton_rate,A_confirmatory,openml_1486_nomao,tabpfn,pooled_30_contrasts,-0.0015813143769041083
rq1a_cc_m100_minus_m50_singleton_rate,A_confirmatory,openml_1486_nomao,(pooled_3_pipelines),pooled_30_contrasts,-0.0010493737608201492
rq1a_cc_m100_minus_m50_singleton_rate,A_confirmatory,openml_1489_phoneme,logistic_regression,pooled_30_contrasts,0.011840888066604988
rq1a_cc_m100_minus_m50_singleton_rate,A_confirmatory,openml_1489_phoneme,xgboost,pooled_30_contrasts,0.008695652173913049
rq1a_cc_m100_minus_m50_singleton_rate,A_confirmatory,openml_1489_phoneme,tabpfn,pooled_30_contrasts,0.005735430157261823
rq1a_cc_m100_minus_m50_singleton_rate,A_confirmatory,openml_1489_phoneme,(pooled_3_pipelines),pooled_30_contrasts,0.00875732346592662
rq1a_cc_m100_minus_m50_singleton_rate,A_confirmatory,openml_1590_adult,logistic_regression,pooled_30_contrasts,0.00555839901729962
