dataset_id,model,cp_method,m_minority,threshold_metric,across_seed_sd,across_seed_iqr,across_seed_mean
openml_3_kr_vs_kp,logistic_regression,global_split_cp,10,q_global,0.03892845246627827,0.04709118215349675,0.2075678975876832
openml_3_kr_vs_kp,logistic_regression,global_split_cp,20,q_global,0.04062971355729343,0.04998782821658526,0.2092167240433434
openml_3_kr_vs_kp,logistic_regression,global_split_cp,50,q_global,0.03965298785933646,0.05035022162801195,0.2168524533791166
openml_3_kr_vs_kp,logistic_regression,global_split_cp,100,q_global,0.03438408259521994,0.02814240979493199,0.22116087588919342
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,10,q_minority,0.21704568937043672,0.32775786421894926,0.3099048776118285
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,10,q_majority,0.04047310559452119,0.04535039476156891,0.20924759253198832
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,10,threshold_sum,0.2130796728208086,0.3226291732588147,0.5191524701438168
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,20,q_minority,0.16042946408251516,0.10151088587329773,0.28105041941562847
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,20,q_majority,0.04047310559452119,0.04535039476156891,0.20924759253198832
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,20,threshold_sum,0.18601694928674534,0.19384804349537482,0.4902980119476168
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,50,q_minority,0.09457505604558825,0.13892211617706765,0.2722420871987463
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,50,q_majority,0.04047310559452119,0.04535039476156891,0.20924759253198832
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,50,threshold_sum,0.11019795736108877,0.1463160989624649,0.48148967973073464
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,100,q_minority,0.04835903689895015,0.09128674146216365,0.2516306525970019
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,100,q_majority,0.04047310559452119,0.04535039476156891,0.20924759253198832
openml_3_kr_vs_kp,logistic_regression,class_conditional_cp,100,threshold_sum,0.06564836622297311,0.07623345010775195,0.4608782451289902
openml_3_kr_vs_kp,xgboost,global_split_cp,10,q_global,0.014844965639849184,0.023376792669296265,0.04428285360336304
openml_3_kr_vs_kp,xgboost,global_split_cp,20,q_global,0.015632553679389424,0.025178000330924988,0.043700402975082396
openml_3_kr_vs_kp,xgboost,global_split_cp,50,q_global,0.013098129751086643,0.010217979550361633,0.0415607750415802
openml_3_kr_vs_kp,xgboost,global_split_cp,100,q_global,0.012358738463915163,0.010404735803604126,0.043640875816345216
openml_3_kr_vs_kp,xgboost,class_conditional_cp,10,q_minority,0.10621319915090564,0.1396736055612564,0.11386549472808838
openml_3_kr_vs_kp,xgboost,class_conditional_cp,10,q_majority,0.015035395138147209,0.02245350182056427,0.04483140110969543
openml_3_kr_vs_kp,xgboost,class_conditional_cp,10,threshold_sum,0.11359866748280012,0.12553279101848602,0.15869689583778382
openml_3_kr_vs_kp,xgboost,class_conditional_cp,20,q_minority,0.0668269351094846,0.047737300395965576,0.06240655183792114
openml_3_kr_vs_kp,xgboost,class_conditional_cp,20,q_majority,0.015035395138147209,0.02245350182056427,0.04483140110969543
openml_3_kr_vs_kp,xgboost,class_conditional_cp,20,threshold_sum,0.07750064178797017,0.05055795609951019,0.10723795294761658
openml_3_kr_vs_kp,xgboost,class_conditional_cp,50,q_minority,0.030250027027544313,0.022014394402503967,0.04345659017562866
openml_3_kr_vs_kp,xgboost,class_conditional_cp,50,q_majority,0.015035395138147209,0.02245350182056427,0.04483140110969543
openml_3_kr_vs_kp,xgboost,class_conditional_cp,50,threshold_sum,0.03812776228989886,0.013195276260375977,0.0882879912853241
openml_3_kr_vs_kp,xgboost,class_conditional_cp,100,q_minority,0.021654203368985308,0.021050333976745605,0.04679920077323914
openml_3_kr_vs_kp,xgboost,class_conditional_cp,100,q_majority,0.015035395138147209,0.02245350182056427,0.04483140110969543
openml_3_kr_vs_kp,xgboost,class_conditional_cp,100,threshold_sum,0.027306023114205356,0.020094767212867737,0.09163060188293456
openml_3_kr_vs_kp,tabpfn,global_split_cp,10,q_global,0.004277374291014791,0.0060668885707855225,0.005222135782241821
openml_3_kr_vs_kp,tabpfn,global_split_cp,20,q_global,0.004221567026257241,0.005671203136444092,0.0049128890037536625
openml_3_kr_vs_kp,tabpfn,global_split_cp,50,q_global,0.002851484398810719,0.0037977248430252075,0.00427713394165039
openml_3_kr_vs_kp,tabpfn,global_split_cp,100,q_global,0.0026998140641266706,0.004482179880142212,0.004458796977996826
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,10,q_minority,0.14475159863861764,0.02779453992843628,0.0751282513141632
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,10,q_majority,0.004461480852952437,0.005978405475616455,0.0051331758499145504
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,10,threshold_sum,0.14480024454933144,0.034879907965660095,0.08026142716407776
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,20,q_minority,0.023000197768104715,0.001721411943435669,0.01001753807067871
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,20,q_majority,0.004461480852952437,0.005978405475616455,0.0051331758499145504
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,20,threshold_sum,0.024075233551005094,0.0074753910303115845,0.015150713920593261
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,50,q_minority,0.004065624222410748,0.004731237888336182,0.004343944787979126
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,50,q_majority,0.004461480852952437,0.005978405475616455,0.0051331758499145504
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,50,threshold_sum,0.006391029985739808,0.005934789776802063,0.009477120637893677
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,100,q_minority,0.003069296764159284,0.004548817873001099,0.0050477683544158936
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,100,q_majority,0.004461480852952437,0.005978405475616455,0.0051331758499145504
openml_3_kr_vs_kp,tabpfn,class_conditional_cp,100,threshold_sum,0.005407726475570585,0.008736148476600647,0.010180944204330444
openml_24_mushroom,logistic_regression,global_split_cp,10,q_global,0.003613495044613921,0.004090581098926738,0.01927271312815798
openml_24_mushroom,logistic_regression,global_split_cp,20,q_global,0.0037919944974540063,0.004397363626229417,0.018986512217949992
openml_24_mushroom,logistic_regression,global_split_cp,50,q_global,0.0036870806238988455,0.005550572367624906,0.018545319856884034
openml_24_mushroom,logistic_regression,global_split_cp,100,q_global,0.0034898288129548683,0.0032994088014703937,0.017720723534580873
openml_24_mushroom,logistic_regression,class_conditional_cp,10,q_minority,0.03577325429913861,0.05119798256275873,0.041204112876702906
openml_24_mushroom,logistic_regression,class_conditional_cp,10,q_majority,0.003942982001860552,0.004215807211385286,0.0194640926266083
openml_24_mushroom,logistic_regression,class_conditional_cp,10,threshold_sum,0.03418948342015844,0.04508912264141299,0.0606682055033112
openml_24_mushroom,logistic_regression,class_conditional_cp,20,q_minority,0.03462604809173787,0.012465429279723467,0.033268624322513984
openml_24_mushroom,logistic_regression,class_conditional_cp,20,q_majority,0.003942982001860552,0.004215807211385286,0.0194640926266083
openml_24_mushroom,logistic_regression,class_conditional_cp,20,threshold_sum,0.034207240209571756,0.015959838287922024,0.05273271694912228
openml_24_mushroom,logistic_regression,class_conditional_cp,50,q_minority,0.017490614206081535,0.0038659409673576506,0.019209029400513177
openml_24_mushroom,logistic_regression,class_conditional_cp,50,q_majority,0.003942982001860552,0.004215807211385286,0.0194640926266083
openml_24_mushroom,logistic_regression,class_conditional_cp,50,threshold_sum,0.019294929392452774,0.007435918328426938,0.038673122027121476
openml_24_mushroom,logistic_regression,class_conditional_cp,100,q_minority,0.00555666675068122,0.009220664877443191,0.014936577273335328
openml_24_mushroom,logistic_regression,class_conditional_cp,100,q_majority,0.003942982001860552,0.004215807211385286,0.0194640926266083
openml_24_mushroom,logistic_regression,class_conditional_cp,100,threshold_sum,0.007761301501392834,0.005100929695072587,0.03440066989994363
openml_24_mushroom,xgboost,global_split_cp,10,q_global,0.0004336222786146922,0.0004490017890930176,0.002018505334854126
openml_24_mushroom,xgboost,global_split_cp,20,q_global,0.00043070100296122666,0.00042048096656799316,0.0020223081111907957
openml_24_mushroom,xgboost,global_split_cp,50,q_global,0.0004893057449308733,0.0005390346050262451,0.0021249473094940184
openml_24_mushroom,xgboost,global_split_cp,100,q_global,0.00041390928760607173,0.0004445016384124756,0.002172356843948364
openml_24_mushroom,xgboost,class_conditional_cp,10,q_minority,0.011787475780101723,0.00941208004951477,0.008766877651214599
openml_24_mushroom,xgboost,class_conditional_cp,10,q_majority,0.0003015164051335963,0.0003187805414199829,0.0019195735454559325
openml_24_mushroom,xgboost,class_conditional_cp,10,threshold_sum,0.01161759920962484,0.008944034576416016,0.010686451196670532
openml_24_mushroom,xgboost,class_conditional_cp,20,q_minority,0.011226634295577234,0.0014267712831497192,0.006839632987976074
openml_24_mushroom,xgboost,class_conditional_cp,20,q_majority,0.0003015164051335963,0.0003187805414199829,0.0019195735454559325
openml_24_mushroom,xgboost,class_conditional_cp,20,threshold_sum,0.011098343814955745,0.0017842650413513184,0.008759206533432007
openml_24_mushroom,xgboost,class_conditional_cp,50,q_minority,0.0029234992460085442,0.0010354965925216675,0.003434896469116211
openml_24_mushroom,xgboost,class_conditional_cp,50,q_majority,0.0003015164051335963,0.0003187805414199829,0.0019195735454559325
openml_24_mushroom,xgboost,class_conditional_cp,50,threshold_sum,0.0029946799816044454,0.0009513050317764282,0.005354470014572144
openml_24_mushroom,xgboost,class_conditional_cp,100,q_minority,0.00043916230141692825,0.0003706216812133789,0.0024966657161712646
openml_24_mushroom,xgboost,class_conditional_cp,100,q_majority,0.0003015164051335963,0.0003187805414199829,0.0019195735454559325
openml_24_mushroom,xgboost,class_conditional_cp,100,threshold_sum,0.000589859823461935,0.0009003579616546631,0.004416239261627197
openml_24_mushroom,tabpfn,global_split_cp,10,q_global,0.0,0.0,1.2993812561035156e-05
openml_24_mushroom,tabpfn,global_split_cp,20,q_global,0.0,0.0,1.2993812561035156e-05
openml_24_mushroom,tabpfn,global_split_cp,50,q_global,0.0,0.0,1.2993812561035156e-05
openml_24_mushroom,tabpfn,global_split_cp,100,q_global,0.0,0.0,1.2993812561035156e-05
openml_24_mushroom,tabpfn,class_conditional_cp,10,q_minority,0.0,0.0,1.2993812561035156e-05
openml_24_mushroom,tabpfn,class_conditional_cp,10,q_majority,0.0,0.0,1.2993812561035156e-05
openml_24_mushroom,tabpfn,class_conditional_cp,10,threshold_sum,0.0,0.0,2.5987625122070312e-05
openml_24_mushroom,tabpfn,class_conditional_cp,20,q_minority,0.0,0.0,1.2993812561035156e-05
openml_24_mushroom,tabpfn,class_conditional_cp,20,q_majority,0.0,0.0,1.2993812561035156e-05
openml_24_mushroom,tabpfn,class_conditional_cp,20,threshold_sum,0.0,0.0,2.5987625122070312e-05
openml_24_mushroom,tabpfn,class_conditional_cp,50,q_minority,0.0,0.0,1.2993812561035156e-05
openml_24_mushroom,tabpfn,class_conditional_cp,50,q_majority,0.0,0.0,1.2993812561035156e-05
openml_24_mushroom,tabpfn,class_conditional_cp,50,threshold_sum,0.0,0.0,2.5987625122070312e-05
openml_24_mushroom,tabpfn,class_conditional_cp,100,q_minority,0.0,0.0,1.2993812561035156e-05
openml_24_mushroom,tabpfn,class_conditional_cp,100,q_majority,0.0,0.0,1.2993812561035156e-05
openml_24_mushroom,tabpfn,class_conditional_cp,100,threshold_sum,0.0,0.0,2.5987625122070312e-05
openml_1486_nomao,logistic_regression,global_split_cp,10,q_global,0.057467147446297134,0.02990564839791751,0.16327064896774462
openml_1486_nomao,logistic_regression,global_split_cp,20,q_global,0.06470596740546283,0.0760055453554512,0.188137258551999
openml_1486_nomao,logistic_regression,global_split_cp,50,q_global,0.06113638750562198,0.08118655465080155,0.20866655569823478
openml_1486_nomao,logistic_regression,global_split_cp,100,q_global,0.06757240300361006,0.09505511308612569,0.24001651813311958
openml_1486_nomao,logistic_regression,class_conditional_cp,10,q_minority,0.20401325765039227,0.16247856306908998,0.47935117687345274
openml_1486_nomao,logistic_regression,class_conditional_cp,10,q_majority,0.06361299380649137,0.03641118569662427,0.14892136118022448
openml_1486_nomao,logistic_regression,class_conditional_cp,10,threshold_sum,0.2011797353703959,0.19779878332220102,0.6282725380536772
openml_1486_nomao,logistic_regression,class_conditional_cp,20,q_minority,0.16552999557736026,0.23701022314019182,0.43159853128971903
openml_1486_nomao,logistic_regression,class_conditional_cp,20,q_majority,0.06361299380649137,0.03641118569662427,0.14892136118022448
openml_1486_nomao,logistic_regression,class_conditional_cp,20,threshold_sum,0.17849289600442336,0.3210120061707874,0.5805198924699435
openml_1486_nomao,logistic_regression,class_conditional_cp,50,q_minority,0.13999251507542435,0.1547370297442079,0.4152402148162456
openml_1486_nomao,logistic_regression,class_conditional_cp,50,q_majority,0.06361299380649137,0.03641118569662427,0.14892136118022448
openml_1486_nomao,logistic_regression,class_conditional_cp,50,threshold_sum,0.1527852577256704,0.25255855780644454,0.5641615759964701
openml_1486_nomao,logistic_regression,class_conditional_cp,100,q_minority,0.14961610626647495,0.23491764352502814,0.4017263851807117
openml_1486_nomao,logistic_regression,class_conditional_cp,100,q_majority,0.06361299380649137,0.03641118569662427,0.14892136118022448
